,t,V,X,S,P,G,Gfed,Gcon,r_V,q_V,r_X,q_X,r_S,q_S,r_P,q_P,r_G,q_G,r_Gfed,q_Gfed,r_Gcon,q_Gcon
0,0.0,0.5,1.0,29.99999999999987,0.0,0.0,0.0,0.0,0.0048862516598120465,0.0048862516598120465,0.960438930061855,0.960438930061855,-0.24223230255120143,-0.24223230255120143,0.4306394522652583,0.4306394522652583,2.3265152513458944,2.3265152513458944,12.205059567932677,12.205059567932677,9.878544316586792,9.878544316586792
1,0.005919280145458078,0.5000289230924356,1.0056851070896402,29.99856615914079,0.002549075559644685,0.013771295535397162,0.07224516677459704,0.05847387123919993,0.0048862516598120465,0.004858629828925684,0.960438930061855,0.9550095982243155,-0.24223230255120143,-0.2408629707684539,0.4306394522652583,0.42820506063919855,2.3265152513458944,2.3133635319296064,12.205059567932677,12.13606474023762,9.878544316586792,9.822701208308024
2,0.011838560290916155,0.5000578461848711,1.0114025346654614,29.997124166731894,0.005112248979852475,0.02721016040271864,0.14449033354909663,0.11728017314637798,0.004886251659783625,0.004831164143166633,0.9658991355913997,0.9550096054593015,-0.24360942098701344,-0.2408629725924025,0.43302113723651664,0.42813926443218353,2.270354593308656,2.24475865493022,12.205059567916214,12.067459937653059,9.934704974607547,9.822701282722827
3,0.017757840436374232,0.5000867692773067,1.0171524665029696,29.995673976423156,0.007689596035494208,0.04031470438855085,0.21673550032343125,0.17642079593488041,0.004886251659797836,0.004803853719784073,0.9713903880559087,0.955009617580348,-0.24499436977112055,-0.24086297564948714,0.4354156235736464,0.42807311382789154,2.2138746036352854,2.1765415476469494,12.205059567888348,11.999242955041012,9.991184964253065,9.822701407394065
4,0.02367712058183231,0.5001156923697422,1.022935087320768,29.994215541626698,0.010281192848782272,0.05308302757956741,0.28898066709778647,0.23589763951821902,0.004886251659797836,0.004776697681370688,0.9769128467818007,0.9550096178052636,-0.24638718908772717,-0.24086297570753482,0.43782296995634207,0.42800660118431466,2.157073643627734,2.1087101912570594,12.205059567891823,11.931411600963695,10.047985924264083,9.82270140970663
5,0.02959640072729039,0.5001446154621778,1.0287505829165717,29.99274881548248,0.012887115934204461,0.06551321896324726,0.36122583387231333,0.2957126149090661,0.0048862516598120465,0.004749695155417769,0.9824666940735938,0.9550096110645593,-0.24778792491179047,-0.24086297400609613,0.4402432426553997,0.4279397260775132,2.099949838194034,2.0412623555853022,12.20505956792082,11.8639636959609,10.105109729726792,9.822701340375602
6,0.035515680872748465,0.5001735385546134,1.0345991401699617,29.9912737508576,0.015507442199448196,0.07760335639955694,0.4334710006471225,0.3558676442475656,0.004886251659797836,0.004722845274156262,0.9880521127011832,0.9550096016307033,-0.2491966233437779,-0.2408629716267118,0.44267650809775194,0.4278724879135604,2.0425013074582345,1.974195829239426,12.205059567968526,11.796897072583596,10.162558260510288,9.822701243344166
7,0.04143496101820655,0.5002024616470493,1.0404809470423846,29.989790300346307,0.01814224894540055,0.0893515066209507,0.5057161674222845,0.4163646608013338,0.004886251659854679,0.004696147174769587,0.9936692854343221,0.9550095926877596,-0.25061333047960943,-0.2408629693719904,0.44512283271033626,0.4278048857844236,1.9847261715443931,1.907508424047619,12.205059568028105,11.730209575409866,10.22033339648371,9.822701151362244
8,0.04735424116366462,0.5002313847394854,1.0463961925771528,29.988298416269984,0.020791613866148233,0.10075572523237038,0.5779613341978289,0.4772056089654584,0.004886251659883101,0.004669599999068066,0.9993183950428488,0.9550095863610161,-0.25203809241338604,-0.24086296777575744,0.4475822829200897,0.42773691847802536,1.9266225505765675,1.8411979747666312,12.205059568092722,11.663899061055519,10.27843701751614,9.822701086288873
9,0.0532735213091227,0.5002603078319214,1.0523450668994443,29.98679805067716,0.023455615048977592,0.11181405671124553,0.6502065009737451,0.5383924442624995,0.004886251659883101,0.004643202893780469,1.0049996242965733,0.9550095837457895,-0.2534709552437562,-0.2408629671164471,0.4500549251539434,0.427668584488122,1.868188564678821,1.775262338790755,12.205059568155534,11.59796339818047,10.33687100347673,9.822701059389733
10,0.07197623232660039,0.5003516939846758,1.0713644413325236,29.982001174251394,0.03196993283101357,0.14445897908785907,0.8784742030296793,0.7340152239418201,0.004886251659932839,0.004560774533318932,1.0169314178733657,0.9491928037191004,-0.25648027290162645,-0.23939591702579352,0.4552451125443442,0.424920871909961,1.7454647268038759,1.6291979269285166,12.205059568242163,11.392070799980965,10.459594841438275,9.762872873052437
11,0.09067894334407808,0.5004430801374301,1.090727559578606,29.977117602198547,0.04063365573660606,0.17356834247777103,1.1067419050855571,0.933173562607786,0.004886251659929286,0.0044798094785622284,1.0353107754264883,0.9491928266912707,-0.2611157306705536,-0.2393959228200245,0.46323353322928607,0.42470141068797485,1.5564248072222924,1.4269601914373604,12.20505956823915,11.189833300768965,10.648634761016858,9.762873109331606
12,0.10938165436155577,0.5005344662901844,1.1104406336988215,29.972145767774688,0.049449324594525224,0.19907825305153953,1.3350096071413602,1.1359313540898208,0.004886251659925733,0.004400281754504855,1.0540222806091464,0.949192823661587,-0.26583495939235036,-0.2393959220556146,0.4713578074152416,0.42447816939584837,1.363968600591086,1.2283129410059281,12.205059568235157,10.991186019175759,10.841090967644092,9.76287307816985
13,0.12808436537903345,0.5006258524429388,1.1305099880480909,29.967084075914258,0.05841952048409259,0.22092366198790986,1.5632773091971635,1.3423536472092534,0.004886251659932839,0.004322165846910662,1.0730719375664037,0.9491927969775321,-0.2706394733736488,-0.23939591532572646,0.4796200872261096,0.4242510834019336,1.1680343515951126,1.0331924210699017,12.205059568235171,10.79606522478241,11.037025216640032,9.762872803712485
14,0.14678707639651115,0.5007172385956931,1.1509420624804894,29.961930902421663,0.06754686571582195,0.2390383325050512,1.791545011252967,1.5525066787479158,0.004886251659925733,0.00424543668983213,1.0924659218283708,0.9491928025237936,-0.27553083014436197,-0.2393959167245508,0.488022577218878,0.42402010763869435,0.9685585421393288,0.8415354462342866,12.205059568235171,10.604408306992491,11.236501026095851,9.762872860758211
15,0.16548978741398884,0.5008086247484473,1.1717434126464925,29.956684593896295,0.07683402385537846,0.253354836803315,2.01981271330877,1.7664578765054546,0.004886251659925733,0.004170069664731184,1.112210424818322,0.9491928120221221,-0.28051059124345556,-0.2393959191201221,0.49656748323158384,0.42378517162732715,0.7654774906635193,0.6532808142139384,12.205059568235157,10.416153772666734,11.4395820775716,9.762872958452764
16,0.1841924984314665,0.5009000109012016,1.1929207123789882,29.951343467130766,0.08628370016973809,0.2638045315240463,2.2480804153645733,1.9842758838405261,0.004886251659929286,0.004096040591151154,1.132311765535249,0.949192812049621,-0.2855803503855441,-0.23939591912695019,0.5052570349576015,0.4235462002751131,0.5587262034346843,0.46836826424150324,12.205059568235157,10.231241222977138,11.64633336480047,9.762872958735631
17,0.2028952094489442,0.5009913970539559,1.2144807563361522,29.945905808444326,0.09589864244362746,0.2703175305664189,2.4763481174203767,2.2060305868539567,0.004886251659925733,0.004023325717129176,1.1527764042879198,0.9491928120504913,-0.2907417369256109,-0.23939591912738176,0.5140935057438574,0.42330313021572746,0.34823823328533443,0.2867383706728299,12.205059568235157,10.049611329417358,11.856821334949814,9.762872958744522
18,0.2215979204664219,0.5010827832067101,1.2364304619784574,29.94036987318428,0.10568164143713217,0.2728226847528051,2.7046158194759813,2.4317931347231756,0.004886251659922181,0.003951901712372495,1.173610907092197,0.9491928120359145,-0.2959964068777481,-0.2393959191235983,0.5230791934047687,0.42305589314563685,0.13394604579224456,0.10833285810340892,12.205059568224556,9.871205816698172,12.071113522432327,9.762872958594775
