t,V,G,X,S,P,r_V,r_G,r_X,r_S,r_P,q_G,q_X,q_S,q_P,q_M
0.0,0.5,0.0,1.0,30.00000029875338,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0515014981348238,0.5002041057487606,0.049462955403803084,1.0283034871161627,29.99283811656345,0.361452993283563,0.00396307691820687,0.8355157803092726,0.5572413887840586,-0.14100963364704322,7.116316350168481,-8.814133172132625,0.5419036264743139,-0.13712842114615056,6.92044366212136,3.595685219434314
0.21422696692715004,0.5008489965977314,0.11847891536889842,1.1230962210131596,29.968850866241116,1.572014690795539,0.003963076918319258,5.481947300667484e-13,0.6086099150445019,-0.1540084115814839,7.772324124745358,-8.814133172132625,0.5419036264743139,-0.13712842114615056,6.92044366212136,3.595685219434314
0.3321605813274673,0.5013163779354434,0.080350121537908,1.197216200041096,29.95009484541833,2.5185725538673305,0.003963076917987679,-0.6533033658590423,0.6487758004723125,-0.16417236728014875,8.285267263899598,-8.814133172132625,0.5419036264743139,-0.13712842114615056,6.92044366212136,3.595685219434314
0.38366225701218903,0.5015607375845935,0.13956839455535242,1.2311017118082315,29.9415227646456,2.94738809724264,0.004744661787261881,1.0002967263297904,0.6671384821845678,-0.1687672594067225,8.442527087762121,-8.81413317213879,0.5419036264754024,-0.13708636564330953,6.857700713627266,4.389120696757262
0.5463882867957761,0.5023328143269207,0.22219601470748657,1.3445895281150042,29.912813541223333,4.383557630429295,0.00474466178737423,5.626400946081821e-13,0.7286379413995118,-0.18432489168772245,9.220792566718735,-8.81413317213879,0.5419036264754024,-0.13708636564330953,6.857700713627266,4.389120696757262
0.6643223077687554,0.502892372988555,0.17654726850924285,1.43332751907994,29.890365327031258,5.506522220006662,0.0047446617870427,-0.7821484697809111,0.7767253805073684,-0.19648966036252377,9.829331150752543,-8.81413317213879,0.5419036264754024,-0.13708636564330953,6.857700713627266,4.389120696757262
0.7158242150769404,0.5031849259691528,0.24744504662446049,1.4738960129254273,29.88010537163121,6.014228924395746,0.005680392445959041,1.1975779656004468,0.7987095944451778,-0.2019972653105387,9.995693156402192,-8.814133172150981,0.541903626477579,-0.13704987566588714,6.781817080993844,5.323042176728768
0.8785509767040272,0.5041092739660583,0.3463691624428511,1.6097662048352481,29.84574318617525,7.714617596020107,0.005680392446071308,5.792159309170662e-13,0.8723381441679197,-0.2206182582166642,10.917139944808344,-8.814133172150981,0.541903626477579,-0.13704987566588714,6.781817080993844,5.323042176728768
0.9964855280730762,0.5047791904385069,0.2917171844535507,1.7160053798168768,29.81887481878664,9.04417993109659,0.005680392445739889,-0.9364062363713028,0.9299095383615418,-0.23517832393724808,11.637634596463485,-8.814133172150981,0.541903626477579,-0.13704987566588714,6.781817080993844,5.323042176728768
1.0479877393916237,0.5051294424146292,0.3765983088251099,1.7645749980794287,29.806594792595053,9.64391729933079,0.006800672244462484,1.4337708691965123,0.956229590639141,-0.24176686651643722,11.807517520466206,-8.814133172169203,0.541903626480843,-0.13701138619158842,6.691422882412034,6.418478427619459
1.2107154615777342,0.5062360956843295,0.4950334920639372,1.927242255450653,29.765467061876024,11.652531662058788,0.006800672244574624,6.047858321122838e-13,1.0443795673137177,-0.26405413293438385,12.895992928812221,-8.814133172169203,0.541903626480843,-0.13701138619158842,6.691422882412034,6.418478427619459
1.3286507091020832,0.5070381369682612,0.42960233913776585,2.0544345609455146,29.733308587119367,13.223101522129301,0.006800672244243402,-1.1210899190853931,1.1133055389179956,-0.28148092702111777,13.747090432392536,-8.814133172169203,0.541903626480843,-0.13701138619158842,6.691422882412034,6.418478427619459
1.3801533260115262,0.5074574690390496,0.5312253019524099,2.1125835041199332,29.718610816878318,13.929625045968413,0.00814190272013175,1.7165524895907753,1.1448166621077123,-0.2893647131834855,13.909795411123401,-8.814133172193456,0.5419036264851939,-0.1369719647218239,6.58425827102557,7.698040219030983
1.5428823297131455,0.508782387209003,0.6730205071597285,2.307333510284973,29.669385660086288,16.295884054522425,0.008141902720243701,6.326128431555147e-13,1.2503523967004597,-0.3160400041542485,15.192079750194008,-8.814133172193456,0.5419036264851939,-0.1369719647218239,6.58425827102557,7.698040219030983
1.660818506002715,0.5097426148599937,0.5946837563805034,2.4596119557183798,29.630895646657848,18.146103473838103,0.008141902719912796,-1.3422024972762947,1.332872638511298,-0.33689788200739884,16.1947203641977,-8.814133172193456,0.5419036264851939,-0.1369719647218239,6.58425827102557,7.698040219030983
1.7123216780510349,0.5102446540109052,0.7163515971278747,2.529229845739751,29.613304146700234,18.97576551597548,0.00974766814772419,2.055116243704513,1.3705988255935824,-0.346331800196609,16.33393113636716,-8.814133172223762,0.5419036264906306,-0.13693172283276564,6.458065154776125,9.185312820923723
1.875052435783843,0.5118308927925407,0.8861155986469429,2.7623913153468855,29.554387394390666,21.754436644386107,0.009747668147835868,6.118824819302034e-13,1.4969498715235325,-0.37825900192410705,17.8397030989033,-8.814133172223762,0.5419036264906306,-0.13693172283276564,6.458065154776125,9.185312820923723
